LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinement ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. ? rate
,,,,,,,,,(sec),(sec),(sec),(micron),(micron),(micron),(micron),(micron/sec),(micron/sec),(micron/sec),(micron/sec),(micron/sec),(quality),(micron),(micron),,(micron/sec),,(rad/sec)
Track_7,7,7,11,1,0,0,0,1,19793.551190600003,0.0,19793.551190600003,3.4500008625002465,968.4152421038106,1485.7899169020245,0.0,0.0020994343050755827,0.004026312365898332,5.75187480842565E-4,0.002109020763089701,0.0011507743281134156,0.053168262778358025,40.02001000500263,16.560004140000956,0.08620689655172463,1.7429923661897815E-4,0.08302200083022036,3.8797730810538134E-4
Track_8,8,8,16,0,0,0,0,0,26991.206169000005,0.0,26991.206169000005,41.699352436287924,77.19086728605387,1536.9838057167512,0.0,0.0018672698499559675,0.004123361318828848,6.809466513120636E-4,0.0015058823230938501,0.0010924338713310712,0.09239517664536834,50.39986549331921,41.699352436287924,0.8273703119667137,0.0015449236382841071,0.8273703119667135,2.840083260575858E-4
Track_9,9,9,34,0,0,0,0,0,59380.65357180001,0.0,59380.65357180001,34.33033214400884,126.69990720575275,1611.527741437183,0.0,0.0015410772419773352,0.005369977102422927,4.427825084394015E-5,0.0012707888177841185,0.0011933367890848408,0.08367976644898162,91.51017383324113,40.7489649227405,0.3751531737505926,5.781400183226071E-4,0.3751531737505925,6.926160197961908E-4
Track_10,10,10,34,0,0,0,0,0,59380.65357180001,0.0,59380.65357180001,39.38711809969802,35.97291794432774,1626.6031989085113,0.0,0.0015811866787915159,0.0031977847182353006,4.211813808138956E-5,0.0013386935257203932,9.028281079520116E-4,0.15028043365215554,93.89189840566401,39.38711809969802,0.4194943202609907,6.632988310253803E-4,0.41949432026099065,4.75105480181849E-4
Track_11,11,11,34,0,0,0,0,0,59380.65357180001,0.0,59380.65357180001,36.13515168720211,954.9904527305071,1670.7737202305714,0.0,0.002337018533512426,0.0062724001682595,1.9862971493032384E-4,0.0016180138220988633,0.001769289865983092,0.0703534956144936,138.77368792937742,44.65341388128826,0.2603890710578468,6.085340849862718E-4,0.26038907105784675,9.248866563826648E-4
Track_12,12,12,34,0,0,0,0,0,59380.65357180001,0.0,59380.65357180001,11.32684002024034,900.4026421149057,1697.092328212339,0.0,0.001670708867765669,0.006237356389636307,5.052303847343091E-4,0.001348354507161472,0.0011400211990216292,0.052522440934005904,99.20778449612743,23.750369433189924,0.11417289558242763,1.9074966910804565E-4,0.11417289558242766,4.769367604411698E-4
Track_13,13,13,34,0,0,0,0,0,59380.65357180001,0.0,59380.65357180001,50.65419948296727,130.35413021119294,1698.0964042319167,0.0,0.0013839441516668998,0.006005870449299708,7.555318267117364E-5,0.0011266946094631958,0.0012281998537471963,0.0785400716259199,82.17950823285085,50.65419948296727,0.6163847967968067,8.530421347033313E-4,0.6163847967968069,6.551482982512231E-4
Track_14,14,14,34,0,0,0,0,0,59380.65357180001,0.0,59380.65357180001,17.574753166297445,840.2887606826159,1712.8814211633198,0.0,0.0011393894749564617,0.005753803640626451,1.6615759035114162E-4,7.211718624134933E-4,0.0012261525309554596,0.07018088516505326,67.65769169574473,18.42431973962725,0.2597598695109309,2.959676613368185E-4,0.25975986951093083,7.779290078046445E-4
Track_15,15,15,34,0,0,0,0,0,59380.65357180001,0.0,59380.65357180001,23.782004354322762,861.5119610409274,1755.220373334312,0.0,0.0012990225722632961,0.005247951519942555,1.6397302432375136E-4,9.06201824791545E-4,0.0012383133655053582,0.06990505557726412,77.13680934551533,25.535880581517365,0.30830941227808806,4.00500885790467E-4,0.30830941227808806,6.9505018193005E-4
Track_17,17,17,34,0,0,0,0,0,59380.65357180001,0.0,59380.65357180001,53.085837890516785,93.37435884315286,1742.2812929187255,0.0,0.0021808713924015306,0.00542249649171998,3.691123427306752E-4,0.0018897251806615767,0.0012993822123403402,0.06005130204207757,129.5015686368444,64.25104534989556,0.4099242846963737,8.939921455449819E-4,0.4099242846963737,5.142916797645977E-4
Track_18,18,18,34,0,0,0,0,0,59380.65357180001,0.0,59380.65357180001,52.835538396286616,133.0525174410535,1771.1942285325345,0.0,0.003356173629173252,0.01332616541554853,1.3331633142425495E-4,0.002628872859190193,0.0031006617350289776,0.056630387354423016,199.29178360074764,78.74864725163118,0.265116491215388,8.897769764760272E-4,0.26511649121538794,6.006387377363625E-4
Track_19,19,19,34,0,0,0,0,0,59380.65357180001,0.0,59380.65357180001,81.18574895118296,896.2240986205923,1791.3835861399193,0.0,0.002557975406392309,0.01686560879821939,1.623160346054311E-4,0.0011792018952026676,0.0037755910296654116,0.07822012101464412,151.89425145216597,81.18574895118296,0.534488620701684,0.0013672087467514543,0.5344886207016838,6.096368368604043E-4
Track_20,20,20,24,1,0,0,0,1,43185.9298704,0.0,43185.9298704,64.51501612875404,966.6118830928208,1751.9129177595987,0.0,0.0023924350073420402,0.01246239541825681,1.9172916028093893E-4,0.0017255624425278203,0.0026351580939326527,0.07033047980318467,121.43955561754119,71.39293954977391,0.5312520768104264,0.0014938897071884788,0.6244222737938315,4.991882211569056E-4
Track_21,21,21,33,1,0,0,0,1,59380.65357180001,0.0,59380.65357180001,81.31911835696769,84.33869048948725,1823.9139536597058,0.0,0.0033983166102703774,0.01556195088294339,3.659383641691385E-4,0.0021667694920177926,0.003604216793810991,0.08434760683413708,220.38937761216727,81.69542143517339,0.36897930035480175,0.001369454754462088,0.4029803315922148,4.762387203745752E-4
Track_23,23,23,34,0,0,0,0,0,59380.65357180001,0.0,59380.65357180001,28.178164286189286,926.6493177041867,1890.4801184655144,0.0,0.0016773020427652782,0.0056696592073541136,2.168422848632206E-4,0.001028786557203358,0.0014498408820986068,0.0656175806241877,99.59929153671749,49.045756063438766,0.2829153084467609,4.7453442478732086E-4,0.28291530844676094,6.6519883703022E-4
Track_24,24,24,34,0,0,0,0,0,59380.65357180001,0.0,59380.65357180001,32.43032773941141,47.26371833778327,1895.5663237347205,0.0,0.0019398778759612254,0.008675508267116988,4.4814407617878566E-5,0.0015445927543026976,0.001513514029106969,0.07773845861939822,115.19121612405276,42.44102420635574,0.2815347283467018,5.461429908345206E-4,0.28153472834670185,5.059948160124678E-4
Track_25,25,25,34,0,0,0,0,0,59380.65357180001,0.0,59380.65357180001,47.57973889856585,113.43636019599828,1908.8394121478934,0.0,0.0018942482796159262,0.006018131202351321,2.593986619382816E-4,0.0011436186876928299,0.0015991458333609447,0.07671032440574731,112.4817008708515,56.196461211760074,0.42299981712754897,8.012666758717113E-4,0.4229998171275491,6.378234385484677E-4
Track_26,26,26,34,0,0,0,0,0,59380.65357180001,0.0,59380.65357180001,19.84420951041444,851.096006275196,1923.393908264401,0.0,9.244748373209097E-4,0.002760409608793864,1.2490759501534974E-4,8.46084791826176E-4,6.223421387706629E-4,0.07151137643000659,54.89592005079912,21.05179576408873,0.36148787545688593,3.34186444856486E-4,0.3614878754568861,5.036230414776682E-4
Track_27,27,27,34,0,0,0,0,0,59380.65357180001,0.0,59380.65357180001,47.750981983813645,916.116127966564,1969.3699142646233,0.0,0.002229277229963827,0.00892576084552879,6.207420013576449E-5,0.0017587533817469238,0.0020742807649851156,0.05785039549364763,132.37593890798394,64.46926128853622,0.3607225178361599,8.041504953473715E-4,0.36072251783615983,4.541702265452525E-4
Track_28,28,28,34,0,0,0,0,0,59380.65357180001,0.0,59380.65357180001,62.49300909796052,43.979537897476334,1976.3753901847833,0.0,0.0018415851674230112,0.005261379116027671,2.0828663254842124E-4,0.0012563345413754467,0.0013122367213778741,0.07250304980313077,109.35453084971114,64.74240570106842,0.5714716035300479,0.00105241362866438,0.5714716035300479,4.726806247021385E-4
