TREATMENT,TR,LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Control,CTR7,Track_540,34,34,15,0,0,0,0,0,25206.93764,0,25206.93764,39.21349001,358.8086413,314.5278495,0,0.001839024,0.005457723,2.78E-04,0.001236088,0.00166634,1.464980141,46.35615379,39.99848526,0.845917679,0.001555663,0.845917679,6.11E-04
Control,CTR7,Track_541,35,35,15,0,0,0,0,0,25206.93764,0,25206.93764,16.0072233,320.3943372,310.8157952,0,0.001486079,0.003338099,1.28E-04,0.001563597,0.001081593,1.387561599,37.45949802,16.0072233,0.427320817,6.35E-04,0.427320817,5.88E-04
Control,CTR7,Track_543,37,37,15,0,0,0,0,0,25206.93764,0,25206.93764,23.0796158,339.5706073,332.7677167,0,0.001246769,0.003274682,1.00E-04,0.001213915,7.72E-04,1.426724815,31.42722293,23.0796158,0.734382922,9.16E-04,0.734382922,4.59E-04
Control,CTR7,Track_544,38,38,14,0,0,0,0,0,23406.4421,1800.495546,25206.93764,21.96069496,582.8033991,346.324999,0,0.002797552,0.014827769,8.56E-04,0.001583264,0.003725937,1.351611946,65.48073455,26.69733256,0.33537643,9.38E-04,0.33537643,4.67E-04
Control,CTR7,Track_547,41,41,13,0,0,0,0,0,21605.94655,3600.991092,25206.93764,3.70438493,559.1533722,369.8967102,0,0.00143786,0.002872581,2.83E-04,0.00143446,7.67E-04,1.416611736,31.06632306,11.64137253,0.119241177,1.71E-04,0.119241177,9.76E-04
Control,CTR7,Track_549,43,43,15,0,0,0,0,0,25206.93764,0,25206.93764,28.79403914,314.7345476,370.1085623,0,0.002785402,0.016400785,4.67E-04,0.00172324,0.004028874,1.462162519,70.21145159,33.92732757,0.410104598,0.001142306,0.410104598,7.38E-04
Control,CTR7,Track_550,44,44,15,0,0,0,0,0,25206.93764,0,25206.93764,11.79313165,599.7351442,385.3713513,0,7.41E-04,0.001589327,1.99E-04,6.72E-04,4.19E-04,1.486037532,18.67698253,12.51664571,0.631425961,4.68E-04,0.631425961,6.72E-04
Control,CTR7,Track_551,45,45,13,0,0,0,0,0,21605.94655,3600.991092,25206.93764,11.648475,357.5052215,400.4732923,0,9.26E-04,0.00399965,1.44E-04,6.72E-04,0.001099707,1.220198136,20.00367861,11.90962995,0.582316644,5.39E-04,0.582316644,8.49E-04
Control,CTR7,Track_553,47,47,15,0,0,0,0,0,25206.93764,0,25206.93764,17.56472934,567.266114,400.627674,0,0.001920288,0.005461456,3.94E-04,0.001534581,0.001511372,1.491501967,48.4045678,21.36740755,0.362873384,6.97E-04,0.362873384,7.48E-04
Control,CTR7,Track_554,48,48,15,0,0,0,0,0,25206.93764,0,25206.93764,6.131037765,334.1402856,14.04049625,0,9.12E-04,0.002749678,1.32E-04,6.62E-04,8.20E-04,1.527525202,22.98593617,8.379245628,0.266729957,2.43E-04,0.266729957,6.98E-04
Control,CTR7,Track_555,49,49,15,0,0,0,0,0,25206.93764,0,25206.93764,19.63425359,344.2491351,414.1270418,0,0.002025245,0.005604985,2.35E-04,0.001383598,0.001779735,1.374567294,51.05022546,24.72841304,0.384606599,7.79E-04,0.384606599,8.34E-04
Control,CTR7,Track_556,50,50,15,0,0,0,0,0,25206.93764,0,25206.93764,15.19142173,499.4488767,22.05504826,0,0.001547364,0.007564895,8.97E-05,0.00105553,0.001879309,1.235219232,39.00430827,23.22096046,0.389480609,6.03E-04,0.389480609,7.09E-04
Control,CTR7,Track_557,51,51,15,0,0,0,0,0,25206.93764,0,25206.93764,20.84578962,321.7562065,399.80232,0,0.003661259,0.009958697,3.57E-04,0.003647603,0.00284649,1.315843336,92.28912083,29.01251872,0.225874832,8.27E-04,0.225874832,9.61E-04
Control,CTR7,Track_558,52,52,15,0,0,0,0,0,25206.93764,0,25206.93764,3.86449843,597.1782682,418.7179775,0,0.001279262,0.002571518,2.81E-04,0.001368018,7.61E-04,1.42903409,32.24626737,7.788833072,0.119843279,1.53E-04,0.119843279,7.07E-04
Control,CTR7,Track_560,54,54,15,0,0,0,0,0,25206.93764,0,25206.93764,4.098526655,525.1561813,36.90884366,0,0.001598698,0.005447679,1.66E-04,0.001198466,0.001395037,1.419685737,40.29827624,8.123788425,0.101704764,1.63E-04,0.101704764,0.001068822
Control,CTR7,Track_561,55,55,15,0,0,0,0,0,25206.93764,0,25206.93764,8.087593569,325.8555756,37.75836341,0,0.001300559,0.003096417,1.51E-04,0.001418783,9.84E-04,1.309836181,32.78311241,11.24208963,0.246699992,3.21E-04,0.246699992,0.001063748
Control,CTR7,Track_562,56,56,13,0,0,0,0,0,21605.94655,0,21605.94655,15.36721621,572.5390694,423.1038383,0,0.001329926,0.002423975,1.58E-04,0.001731571,8.29E-04,1.173951754,28.73429938,15.36721621,0.534803929,7.11E-04,0.534803929,7.72E-04
Control,CTR7,Track_563,57,57,15,0,0,0,0,0,25206.93764,0,25206.93764,15.46949202,318.9947115,430.3268283,0,0.001938805,0.006765688,4.39E-04,0.001310198,0.001804996,1.412922327,48.87133624,15.46949202,0.316535074,6.14E-04,0.316535074,8.78E-04
Control,CTR7,Track_564,58,58,15,0,0,0,0,0,25206.93764,0,25206.93764,14.67759568,334.2487472,451.0958079,0,0.001174584,0.002872746,1.34E-04,0.001143054,6.27E-04,1.487218531,29.60767505,15.37408576,0.495736178,5.82E-04,0.495736178,5.86E-04
Control,CTR7,Track_565,59,59,14,0,0,0,0,0,23406.4421,1800.495546,25206.93764,14.20909083,463.234802,58.85930047,0,0.002653864,0.010972437,1.44E-04,0.001516613,0.003257162,1.501211294,62.11751207,15.94234603,0.22874533,6.07E-04,0.22874533,8.70E-04
Control,CTR7,Track_566,60,60,15,0,0,0,0,0,25206.93764,0,25206.93764,18.69138679,550.4757627,479.9843493,0,0.001653687,0.004474847,6.14E-04,0.001625446,9.91E-04,1.349783127,41.6843831,20.23022253,0.448402625,7.42E-04,0.448402625,9.73E-04
Control,CTR7,Track_568,62,62,15,0,0,0,0,0,25206.93764,0,25206.93764,8.715305737,333.6096427,477.2478656,0,0.001153917,0.003463916,4.27E-04,9.41E-04,8.54E-04,1.446589677,29.08671166,14.09670464,0.299631868,3.46E-04,0.299631868,6.10E-04
Control,CTR7,Track_569,63,63,15,0,0,0,0,0,25206.93764,0,25206.93764,20.42619234,505.0255598,65.1576093,0,0.001442714,0.003402412,1.70E-04,8.03E-04,0.001222851,1.458587909,36.36639798,26.15886224,0.561677633,8.10E-04,0.561677633,6.20E-04
Control,CTR7,Track_570,64,64,14,0,0,0,0,0,23406.4421,0,23406.4421,46.90881703,335.2432102,487.799366,0,0.002522199,0.010168214,4.78E-04,0.001452526,0.00280321,1.374418761,59.03569395,46.90881703,0.794583986,0.002004099,0.794583986,7.02E-04
Control,CTR7,Track_571,65,65,15,0,0,0,0,0,25206.93764,0,25206.93764,25.48765599,581.7997904,500.5181366,0,0.001529314,0.004023424,1.30E-04,0.001030888,0.001209036,1.51707948,38.54932192,28.87132142,0.661170021,0.001011137,0.661170021,5.82E-04
Control,CTR7,Track_572,66,66,15,0,0,0,0,0,25206.93764,0,25206.93764,108.6391192,399.8036531,94.64414923,0,0.004489847,0.014187185,9.31E-04,0.003482075,0.00387931,1.423521606,113.1753049,108.6391192,0.959918944,0.00430989,0.959918944,2.86E-04
Control,CTR7,Track_573,67,67,15,0,0,0,0,0,25206.93764,0,25206.93764,8.147170977,305.6538366,491.4565469,0,0.001247211,0.002949214,4.43E-04,0.001056088,7.45E-04,1.330610903,31.43837853,12.49652582,0.259147302,3.23E-04,0.259147302,6.76E-04
